(-9.751140, 15.829972, 0.028797)
(-9.665663, 15.829134, 0.028919)
(-9.537201, 15.791144, 0.083982)
(-9.469529, 15.893985, 0.156715)
(-9.414967, 15.904814, 0.398957)
(-9.431239, 15.965859, 0.196955)
(-9.425505, 15.895989, 0.396961)
(-9.321793, 15.578948, 0.227232)
(-9.478625, 15.851100, 0.190699)
(-9.279433, 15.482688, 0.359400)
(-9.399343, 15.824221, 0.234287)
(-9.298244, 15.783644, 0.178004)
(-9.270791, 15.751549, 0.197986)
(-9.256778, 15.772627, 0.213283)
(-9.269919, 15.866150, 0.254307)
(-9.370235, 15.891306, 0.635614)
(-9.411734, 15.952500, 0.377826)
(-9.456324, 15.796273, 0.299265)
(-9.429544, 15.969933, 0.381663)
(-9.408099, 15.946347, 0.660963)
(-9.374653, 15.854510, 0.306358)
(-9.266116, 15.544086, 0.336866)
(-9.252915, 15.602842, 0.413426)
(-9.333346, 15.838093, 0.656504)
(-9.403215, 15.828249, 0.280729)
(-9.432501, 15.707879, 0.317019)
(-9.447379, 15.679681, 0.349097)
(-9.599310, 15.658871, 0.211205)
(-9.668420, 15.696210, 0.193083)
(-9.735742, 15.686468, 0.157952)
(-9.770175, 15.682521, 0.144245)
(-9.849821, 15.275611, 0.380092)
(-9.856081, 15.880245, 0.126340)
(-9.874673, 15.946049, 0.202158)
(-9.917702, 15.431015, 0.343014)
(-9.877625, 15.675186, 0.147868)
(-9.877198, 15.659150, 0.143769)
(-9.813503, 15.564910, 0.037901)
(-9.881236, 15.720689, 0.035666)
(-9.868248, 15.603675, 0.133965)
(-9.831414, 15.661512, 0.028842)
(-9.767391, 15.666346, 0.028339)
(-9.732714, 15.628610, 0.018986)
(-9.761478, 15.603436, 0.061418)
(-9.800862, 15.569821, 0.022886)
(-9.888322, 15.795376, 0.113532)
(-10.136945, 15.531645, 0.461514)
(-10.145240, 15.620289, 0.220347)
(-10.166741, 15.587045, 0.076363)
(-10.108564, 15.800457, 0.105804)
(-10.145365, 15.629045, 0.097830)
(-10.144140, 15.637122, 0.119832)
(-10.147818, 15.635855, 0.119424)
(-10.150206, 15.625840, 0.102270)
(-10.149366, 15.312917, 0.265205)
(-10.080951, 15.553703, 0.173906)
(-10.102205, 15.489290, 0.087208)
(-10.049433, 15.353015, 0.100503)
(-10.080930, 15.590631, 0.207210)
(-9.883957, 15.756864, 0.043899)
(-9.719519, 15.410948, 0.117718)
(-9.752223, 15.541450, 0.102836)
(-9.734383, 15.577860, 0.008563)
(-9.725025, 15.583631, 0.013390)
(-9.717551, 15.557274, 0.116462)
(-9.711675, 15.536110, 0.123469)
(-9.803582, 15.772593, 0.097638)
(-10.049192, 15.177808, 0.496995)
(-9.887588, 15.243138, 0.249262)
(-9.994222, 15.461943, 0.179379)
